"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 15:14:30 GMT 2022","Tue Sep 13 15:14:31 GMT 2022","53","","","","","","[POST] Teste de autenticação inválido",""
"failed","Tue Sep 13 15:16:12 GMT 2022","Tue Sep 13 15:16:16 GMT 2022","3151","Validar meus pedidos","Dado que acesso meus pedidos","","","","Então visualizo a pagina de meus pedidos",""
"failed","Tue Sep 13 15:15:05 GMT 2022","Tue Sep 13 15:15:05 GMT 2022","243","Validar API Destaque","Dado que executo a busca por sku e lojista","","","","Então a consulta será executada com sucesso",""
"passed","Tue Sep 13 15:15:19 GMT 2022","Tue Sep 13 15:15:21 GMT 2022","1622","","US0001 - Funcionalidade Login","","","","Deve fazer login com sucesso - Usando importação de dados",""
"failed","Tue Sep 13 15:15:29 GMT 2022","Tue Sep 13 15:15:59 GMT 2022","30268","Validar meus pedidos","Dado que acesso meus pedidos","","","","Quando acesso a url ""https://meuspedidos.casasbahia.com.br/""",""
"passed","Tue Sep 13 15:15:18 GMT 2022","Tue Sep 13 15:15:19 GMT 2022","1305","","US0001 - Funcionalidade Login","","","","Validar mensagem de erro quando inserir usuário e senha inválidos",""
"failed","Tue Sep 13 15:14:35 GMT 2022","Tue Sep 13 15:15:05 GMT 2022","30217","Validar API Destaque","Dado que executo a busca por sku e lojista","","","","Quando executo um requisição com o metodo GET, passando o SKU e lojista",""
"failed","Tue Sep 13 15:15:59 GMT 2022","Tue Sep 13 15:16:12 GMT 2022","13251","Validar meus pedidos","Dado que acesso meus pedidos","","","","E realizo o login",""
"passed","Tue Sep 13 15:15:15 GMT 2022","Tue Sep 13 15:15:18 GMT 2022","2891","","US0001 - Funcionalidade Login","","","","Deve fazer login com sucesso",""
"passed","Tue Sep 13 15:15:21 GMT 2022","Tue Sep 13 15:15:23 GMT 2022","1665","","US0001 - Funcionalidade Login","","","","Deve fazer login com sucesso - Usando fixture",""
"passed","Tue Sep 13 15:14:30 GMT 2022","Tue Sep 13 15:14:30 GMT 2022","233","","","","","","[POST] Teste de autenticação",""
